"","Gene","noIR1","noIR2","IR1","IR2"
"3313","ENSMUSG00000021824",603.788198192011,767.964169722361,579.63459486552,752.861864539095
"3314","ENSMUSG00000021830",996.786433701604,1390.37360289197,1040.36978565606,1289.56461705101
"3315","ENSMUSG00000021831",1032.51354602066,1445.7713011322,1179.91144738295,1687.70383621218
"3316","ENSMUSG00000021832",1632.72903298076,1506.60014625872,1715.78445602643,1948.2032789116
"3317","ENSMUSG00000021835",0,0,0,0
"3318","ENSMUSG00000021838",0,2.1724587545187,0,0.923756889005024
"3319","ENSMUSG00000021840",4000.24567599007,4008.186402087,4941.75648186629,5860.31370384787
"3320","ENSMUSG00000021843",4059.79086318849,4391.62537225955,3713.95499673092,4579.0628987979
"3321","ENSMUSG00000021846",0,2.1724587545187,0,0
"3322","ENSMUSG00000021848",0,0,0,0
"3323","ENSMUSG00000021850",10.7181336957162,13.0347525271122,4.95414183645744,4.61878444502512
"3324","ENSMUSG00000021852",0,3.25868813177805,17.339496427601,13.8563533350754
"3325","ENSMUSG00000021866",1119.44951933036,1141.62707549958,956.149374436285,1365.31268194943
"3326","ENSMUSG00000021867",0,0,0,0
"3327","ENSMUSG00000021868",765.751107371722,555.063211779528,577.157523947291,672.495015195658
"3328","ENSMUSG00000021870",2428.2527339517,2517.87969648717,2207.07018814179,2826.69608035537
"3329","ENSMUSG00000021872",0,0,3.30276122430496,1.84751377801005
"3330","ENSMUSG00000021874",23.8180748793693,23.8970462997057,23.1193285701347,24.9414360031356
"3331","ENSMUSG00000021876",158.390197947806,223.763251715426,125.504926523588,181.056350244985
"3332","ENSMUSG00000021877",1365.96659433183,1339.32082216078,1547.34363358687,1779.15576822368
"3333","ENSMUSG00000021879",2.38180748793693,4.3449175090374,0.825690306076239,23.0939222251256
"3334","ENSMUSG00000021880",11.9090374396846,6.5173762635561,5.77983214253368,0
"3335","ENSMUSG00000021884",75.0269358700132,117.31277274401,24.7707091822872,62.8154684523416
"3336","ENSMUSG00000021886",0,0,0,0
"3337","ENSMUSG00000021890",1569.61113455044,1476.18572369546,2128.62960906455,2492.29608653556
"3338","ENSMUSG00000021891",1167.08566908909,1024.31430275557,1572.11434276916,1666.45742776506
"3339","ENSMUSG00000021892",1541.02944469519,1592.41226706221,1264.9575489088,1478.93477929704
"3340","ENSMUSG00000021893",1551.74757839091,1567.42899138524,1577.89417491169,1856.7513469001
"3341","ENSMUSG00000021895",982.495588773983,830.965473603403,869.45189229828,1011.5137934605
"3342","ENSMUSG00000021898",8.33632620777925,28.2419638087431,48.7157280584981,96.9944733455275
"3343","ENSMUSG00000021900",206.026347706544,205.297352302017,240.275879068186,242.948061808321
"3344","ENSMUSG00000021901",2249.61717235643,2143.1305613327,2672.75952076879,2790.66956168418
